Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
696ec6ccc4472b2fbea9b54d,675c6db4887ccdd0d3d15534,AWAITING REVIEW,Not Applicable,2026-01-20T00:05:32.238000Z,2026-01-20T00:25:00.570000Z,,2026-01-20T00:25:00.927696Z,1169.0,2B73928C,3029,44,Female,Asian,Korea,United States,Korea,English,No,Full-Time
696ec7d0bc0e7473c2100a54,5c93fa19104ec70017bfa894,RETURNED,Not Applicable,2026-01-20T00:20:00.021000Z,,,2026-01-20T02:03:37.717686Z,,,2368,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ecae1288c643ec79b8acb,5ca60cd95a6f9a0015b2d034,AWAITING REVIEW,Not Applicable,2026-01-20T00:23:13.900000Z,2026-01-20T00:37:37.162000Z,,2026-01-20T00:37:37.522073Z,864.0,2B73928C,8758,72,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
696ece01f86e1edd1c0c3a54,5e11ff6f814bba8816cca900,AWAITING REVIEW,Not Applicable,2026-01-20T00:42:35.795000Z,2026-01-20T01:12:55.650000Z,,2026-01-20T01:12:55.978894Z,1820.0,2B73928C,869,37,Female,Other,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
696ecea964601ddfbd4ae1eb,5ee637a18976fc391312fe01,AWAITING REVIEW,Not Applicable,2026-01-20T00:39:12.810000Z,2026-01-20T00:58:14.734000Z,,2026-01-20T00:58:15.438036Z,1142.0,2B73928C,7776,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
696ecef61bc17ee7c02d35d1,61bb392e40db417c1a138dcb,RETURNED,Not Applicable,2026-01-20T00:41:33.157000Z,,,2026-01-20T02:03:37.717722Z,,,11431,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ed0a5ce99781db4dd74bf,6054e5f7c1931593649b158f,AWAITING REVIEW,Not Applicable,2026-01-20T00:57:06.740000Z,2026-01-20T01:09:43.285000Z,,2026-01-20T01:09:43.650169Z,757.0,2B73928C,5821,22,Male,Asian,United States,United States,United States,English,Yes,Unemployed (and job seeking)
696ed2844fc82b279b0814ea,5f80767f60e5e20a089f322a,AWAITING REVIEW,Not Applicable,2026-01-20T00:56:40.859000Z,2026-01-20T01:12:05.960000Z,,2026-01-20T01:12:06.834575Z,926.0,2B73928C,136,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
696ed74d2f88cf56e6030511,5ed559e5afbd830e2117ed55,RETURNED,Not Applicable,2026-01-20T01:16:05.851000Z,,,2026-01-20T02:03:37.717607Z,,,17643,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ed91b8412de7019a930c2,65612a45629022b7c905ef6c,RETURNED,Not Applicable,2026-01-20T01:24:11.636000Z,,,2026-01-20T02:03:37.718461Z,,,3196,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ed91c4c954bdaf6b444f4,5962a5b29955ee00015bce98,AWAITING REVIEW,Not Applicable,2026-01-20T01:27:21.712000Z,2026-01-20T01:53:18.496000Z,,2026-01-20T01:53:18.838652Z,1557.0,2B73928C,3250,34,Female,White,United Kingdom,United Kingdom,France,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
696eda86fca808db29eb667b,5e63e793e50a6316a75213c4,AWAITING REVIEW,Not Applicable,2026-01-20T01:29:46.958000Z,2026-01-20T01:50:20.315000Z,,2026-01-20T01:50:20.632108Z,1234.0,2B73928C,4286,35,Male,White,United States,United States,United States,English,No,Full-Time
696eddf8cc60dc3150538078,62eac88dc8087b43cdf64480,AWAITING REVIEW,Not Applicable,2026-01-20T01:44:24.729000Z,2026-01-20T01:56:23.894000Z,,2026-01-20T01:56:24.234587Z,720.0,2B73928C,590,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
696edeeecc6b076b5a511558,5f4a4da1575d605c43bef871,RETURNED,Not Applicable,,,,2026-01-20T02:03:37.720778Z,,,8342,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ee12c0fd299f4c9a10298,5bc9f8b677740000016a08b5,AWAITING REVIEW,Not Applicable,2026-01-20T01:58:04.290000Z,2026-01-20T02:23:22.357000Z,,2026-01-20T02:23:22.747578Z,1519.0,2B73928C,12546,50,Female,White,United States,United States,United States,English,Yes,Full-Time
696ee1505a166ae9019d99e6,56b10faa6399f90011da710d,AWAITING REVIEW,Not Applicable,2026-01-20T01:59:03.145000Z,2026-01-20T02:32:43.395000Z,,2026-01-20T02:32:43.721370Z,2021.0,2B73928C,3596,37,Female,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
696ee40d4ac1001cbc4346da,55b00063fdf99b5c0061941f,AWAITING REVIEW,Not Applicable,2026-01-20T02:10:48.925000Z,2026-01-20T02:23:44.227000Z,,2026-01-20T02:23:44.554005Z,776.0,2B73928C,5946,36,Male,Mixed,United States,United States,United States,English,No,Full-Time
